name,look,smell,taste,feel,review
Asahi Super Dry,4.0,3.5,3.75,4.25,"11.2 oz. Bottle into pilsner glass
Look: light straw, 3 finger head, good lace and retention, nice lacing
Smell: malt forward, sweet
Taste: Cereal, medium bitterness, dry finish, 
Feel: Tongue tingler, excellent mouthfeel, flavor lingers
Overall: A pleasing experience.
Pair with spicy food, sushi or a hamburger.Thursday at 11:41 PM"
Asahi Super Dry,3.25,3.0,3.25,3.25,"Poured a 500 ml can into a pint glass. Best before July 2022. A one finger white head on a clear straw. The head soon diminishes to a thin layer. Some patchy lacing.
Clean mild taste with a crisp finish.
Light body with medium carbonation.
Overall a clean refreshing lager with major faults.Oct 08, 2021"
Asahi Super Dry,3.75,3.75,3.5,3.5,"I bought a can at the beerstore in Ontario 500ml at 5.2%.
interesting my can on the side said it was brewed in Italy. 
this is Japanese beer I thought 
anyways it's an easy drinking beer. 
nice color good carbonation leaving a lace as you drink. 
overall ok crispy finish. 
cheers.Sep 29, 2021"
Asahi Super Dry,3.75,3.25,3.25,3.25,"Small bbq at the neighbors. He knows I "" love fancy beer "" and he had a few of these in his fridge. Cool looking large can!.

Look - Only poured enough for a look. Straw yellow with excellent clarity. Low carbonation. Good stick.

Smell - Rice Lager you ain't kidding. Adjuncty but clean. Slightest of sweetness in the nose.

Taste - Yep some rice. Slight sweetness. Avoids the corn.

Feel - Frothy body. Swallows easy. Lives up to its drying namesake as you get further into the can.

Overall - No frills but an above average basic lager. Wouldn't have any problems throwing back a few more. Happy to try.Aug 25, 2021"
Asahi Super Dry,2.25,1.5,1.75,2.0,"This looks terrible. Two 11.2 ounce brown bottles have just released their contents into a clear glass liter mug. The starchy white head, despite a deliberate pour, is ridiculous. Then there's the ""color"", one of the lightest ambers that still can be considered amber. Probably the most transparent beer you will find. There's only a little starchy character to smell. Only a little glass lacing rescues the visual, but nothing can salvage the lack of aroma. Taste, what taste? This is as tasteless a beer as one could find. There's remarkably only traces of hops and malt here. It drinks like a Coor's Light diluted with club soda. It's best feature is bringing a 5% ABV that's virtually undetectable, even with the lack of everything else. It is dry.Jul 01, 2021"
Asahi Super Dry,3.0,2.75,3.0,2.75,"Highly carbonated straw yellow body with a quickly evaporating soap bubble head. Slight herbal aroma. Highly watery bubbly taste with just a slight hop zing, thin on the malts. Not a very good beer. I expected better out of this one, but it's really just a thin bubbly disaster.Jun 04, 2021"
Asahi Super Dry,2.0,2.0,2.0,2.0,"De color dorado, con un dedo de espuma de baja durabilidad. De cuerpo y carbonatación media. Aroma a malta y cereal. En boca es amarga con un un retrogusto seco.Apr 27, 2021"
Asahi Super Dry,4.0,3.5,3.75,4.0,"Clear gold color on the pour. Light skim of crackling white head. Lots of visible carbonation bubbles.

Smell is yeast like. Bread like aroma also has a faint sweet aroma. Picking up malts as well.

Taste is lightly leaning towards a Euro Lager with just a hint of grass taste. Picking up just a light sweetness.

The mouth feel is amazing. Lots of carbonation bouncing around on the tongue. The beer is actually as advertised dry. And light as well finish is extremely crisp.

Although there is not a lot of complexity in the flavor department lets examine what this beer offers. The pour is presents a very pleasant looking beer. Just looks inviting. Nothing overpowering or offensive on the nose. The mouth feel is very refreshing and that crisp finish is very nice. I see this beer pairing well with some spicy foods. Also seems great for a hot summer day. I really do have to say I really like this beer.Apr 11, 2021"
Asahi Super Dry,3.5,3.5,3.5,3.0,"Jeezus this beer advocate group is populated by a bunch of people who seem to think that beer is supposed to be flavored by coconut, jalapeno peppers and pineapple juice. Asahi is beer for people who like beer. Beer that is made with ingredients that, well, beer is made from. Buy a can, grow a set and drink it.Apr 09, 2021"
Asahi Super Dry,4.0,3.0,4.0,3.75,"glass pint bomber with a 9/11/21 best by date

pours a clear slightly paled yellow gold body with an excited and billowing clean white foam head that has moderately high retention, leaving a few clusters of thick sticky lacing behind as it settles to a murky foam cap after a handful of minutes and a few sips.

the aroma is very muffled and subdued, but there is a fruit-tinged yeast and herbal hop combo to be discovered. 

the taste is a fairly sweet affair with a bit of citrus sprucing up a barely-there sweet rice cake malt, faintly herbal hops, and a very interesting yeast that hangs out on the back of a grape must note - a singular, but sustained note.

the mouthfeel: high carbonation, light bodied. it's fairly grainy yet easy overall with a thinner, almost watery feel. there is a brisk dry finish that is peppered by dialed down herbal and spicy hops, but mostly notable is more of that yeast flaring up, which decides to stick around for a spell. 

overall:
you'd be a damn fool to expect anything more than an easy everyday lager, but you might catch something a little extra if you land on a solid batch or come in with the proper mood and respect or good company. dogfish did the Noble Rot a while back, and this thing somewhat reminds me of that with it's flashes of yeasty grape must - although what was turned to 11 in that Dogfish, this much more modest Asahi is comfortable at a reasonable 3. just enough, really.Apr 07, 2021"
